School Name,District Name,Reading/Writing Score,Math Score,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate,TSI_Both_Mskd,Above_TSI_Both_Rate,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Chavez Excel Academy,Northside ISD,543.0,503.0,<225,<25,1.4,<25,,<25,33.3,Texas,29.5547286,-98.58559720000001,6500 Ingram Road,78238,Bexar County,San Antonio,48029,"6500 Ingram Road, San Antonio, Texas, 78238",181602,48029181602,2020.0,181602.0,Bexar County,Texas,539.0,112.0,282.0,140.0,5.0,4033.0,371.0,383.0,1489.0,986.0,292.0,392.0,120.0,20.8,52.3,26.0,0.9,9.2,9.5,36.9,24.4,7.2,9.7,3.0,2159.0,47083.0,52493.0,6747.0,5827.0,86.4,920.0,13.6,315.0,4.7,312.0,4.6,0.0,0.0,147.0,2.2,53.0,0.8,8.0,0.1,85.0,1.3
O'Connor H S,Northside ISD,534.0,529.0,811,818,100.0,214,26.2,386,47.2,Texas,29.558993,-98.68653800000001,12221 Leslie Road,78023,Bexar County,Helotes,48029,"12221 Leslie Road, Helotes, Texas, 78023",181724,48029181724,2020.0,181724.0,Bexar County,Texas,398.0,27.0,95.0,246.0,30.0,3441.0,273.0,12.0,540.0,791.0,303.0,947.0,575.0,6.8,23.9,61.8,7.5,7.9,0.3,15.7,23.0,8.8,27.5,16.7,1463.0,114620.0,114639.0,5312.0,2917.0,54.9,2395.0,45.1,1748.0,32.9,155.0,2.9,18.0,0.3,273.0,5.1,0.0,0.0,0.0,0.0,201.0,3.8
Warren H S,Northside ISD,502.0,503.0,<725,<725,99.3,<100,13.8,<250,33.5,Texas,29.4636506,-98.6701148,9411 Military Drive West,78251,Bexar County,San Antonio,48029,"9411 Military Drive West, San Antonio, Texas, 78251",171928,48029171928,2020.0,171928.0,Bexar County,Texas,433.0,11.0,133.0,289.0,0.0,4283.0,180.0,45.0,697.0,1201.0,450.0,926.0,784.0,2.5,30.7,66.7,0.0,4.2,1.1,16.3,28.0,10.5,21.6,18.3,1765.0,96470.0,113533.0,5787.0,3578.0,61.8,2209.0,38.2,1518.0,26.2,410.0,7.1,0.0,0.0,80.0,1.4,0.0,0.0,0.0,0.0,201.0,3.5
Stevens H S,Northside ISD,476.0,463.0,<600,<575,95.6,<50,7.8,<125,18.3,Texas,29.44018489999999,-98.6846566,600 North Ellison Drive,78251,Bexar County,San Antonio,48029,"600 North Ellison Drive, San Antonio, Texas, 78251",171918,48029171918,2020.0,171918.0,Bexar County,Texas,843.0,26.0,231.0,527.0,59.0,4793.0,253.0,240.0,946.0,1262.0,257.0,1418.0,417.0,3.1,27.4,62.5,7.0,5.3,5.0,19.7,26.3,5.4,29.6,8.7,2535.0,67564.0,78593.0,7442.0,5179.0,69.6,2263.0,30.4,1166.0,15.7,407.0,5.5,0.0,0.0,87.0,1.2,0.0,0.0,0.0,0.0,603.0,8.1
Brandeis H S,Northside ISD,550.0,550.0,608,611,100.0,201,32.9,344,56.3,Texas,29.5654611,-98.6463289,13011 Kyle Seale Parkway,78249,Bexar County,San Antonio,48029,"13011 Kyle Seale Parkway, San Antonio, Texas, 78249",181824,48029181824,2020.0,181824.0,Bexar County,Texas,665.0,63.0,0.0,509.0,93.0,1953.0,103.0,9.0,291.0,388.0,163.0,700.0,299.0,9.5,0.0,76.5,14.0,5.3,0.5,14.9,19.9,8.3,35.8,15.3,1156.0,82292.0,99661.0,3191.0,1525.0,47.8,1666.0,52.2,1047.0,32.8,211.0,6.6,0.0,0.0,381.0,11.9,0.0,0.0,0.0,0.0,27.0,0.8
Brennan H S,Northside ISD,501.0,493.0,662,671,100.0,86,12.8,207,30.8,Texas,29.457912,-98.7246428,2400 Cottonwood Way,78253,Bexar County,San Antonio,48029,"2400 Cottonwood Way, San Antonio, Texas, 78253",172009,48029172009,2020.0,172009.0,Bexar County,Texas,796.0,193.0,197.0,326.0,80.0,3397.0,128.0,97.0,314.0,1021.0,425.0,781.0,631.0,24.2,24.7,41.0,10.1,3.8,2.9,9.2,30.1,12.5,23.0,18.6,1775.0,112943.0,128831.0,6252.0,2821.0,45.1,3431.0,54.9,2112.0,33.8,937.0,15.0,0.0,0.0,198.0,3.2,0.0,0.0,0.0,0.0,184.0,2.9
Harlan H S,Northside ISD,505.0,493.0,548,562,100.0,77,13.7,184,32.7,Texas,29.5154961,-98.78002049999999,14350 Culebra Road,78253,Bexar County,San Antonio,48029,"14350 Culebra Road, San Antonio, Texas, 78253",182105,48029182105,2020.0,182105.0,Bexar County,Texas,545.0,44.0,112.0,318.0,71.0,3777.0,37.0,55.0,609.0,829.0,299.0,1312.0,636.0,8.1,20.6,58.3,13.0,1.0,1.5,16.1,21.9,7.9,34.7,16.8,1688.0,108083.0,121137.0,6296.0,2999.0,47.6,3297.0,52.4,2156.0,34.2,595.0,9.5,0.0,0.0,330.0,5.2,0.0,0.0,8.0,0.1,208.0,3.3
Judson H S,Judson ISD,467.0,452.0,<650,<600,95.4,<50,4.5,<100,15.0,Texas,29.5092004,-98.30330149999999,9142 Farm-To-Market Road 78,78109,Bexar County,Converse,48029,"9142 Farm-To-Market Road 78, Converse, Texas, 78109",131608,48029131608,2020.0,131608.0,Bexar County,Texas,562.0,102.0,94.0,333.0,33.0,3937.0,103.0,114.0,891.0,1257.0,338.0,735.0,499.0,18.1,16.7,59.3,5.9,2.6,2.9,22.6,31.9,8.6,18.7,12.7,2193.0,53313.0,65205.0,6822.0,2493.0,36.5,4329.0,63.5,1848.0,27.1,1944.0,28.5,13.0,0.2,158.0,2.3,0.0,0.0,0.0,0.0,366.0,5.4
Judson Learning Acad,Judson ISD,478.0,474.0,<100,<25,14.1,<25,9.1,<25,18.2,Texas,29.539781,-98.3197946,,N/A,Bexar County,N/A,48029,,121604,48029121604,2020.0,121604.0,Bexar County,Texas,471.0,117.0,171.0,55.0,128.0,6218.0,69.0,139.0,2214.0,1453.0,682.0,1219.0,442.0,24.8,36.3,11.7,27.2,1.1,2.2,35.6,23.4,11.0,19.6,7.1,3207.0,60723.0,75659.0,8912.0,3355.0,37.6,5557.0,62.4,3796.0,42.6,1038.0,11.6,0.0,0.0,136.0,1.5,37.0,0.4,0.0,0.0,550.0,6.2
Karen Wagner H S,Judson ISD,450.0,442.0,471,462,98.1,22,4.8,58,12.6,Texas,29.4566356,-98.3569301,3000 North Foster Road,78244,Bexar County,San Antonio,48029,"3000 North Foster Road, San Antonio, Texas, 78244",131615,48029131615,2020.0,131615.0,Bexar County,Texas,928.0,10.0,485.0,233.0,200.0,6342.0,346.0,324.0,1410.0,1841.0,808.0,1139.0,474.0,1.1,52.3,25.1,21.6,5.5,5.1,22.2,29.0,12.7,18.0,7.5,2844.0,63497.0,103786.0,9235.0,4489.0,48.6,4746.0,51.4,1842.0,19.9,2705.0,29.3,0.0,0.0,54.0,0.6,0.0,0.0,32.0,0.3,113.0,1.2
Judson Early College Academy,Judson ISD,577.0,563.0,<100,<125,100.0,<50,37.1,<100,65.5,Texas,29.5481794,-98.3259147,8230 Palisades Drive,78148,Bexar County,Universal City,48029,"8230 Palisades Drive, Universal City, Texas, 78148",121605,48029121605,2020.0,121605.0,Bexar County,Texas,126.0,13.0,36.0,21.0,56.0,1427.0,64.0,62.0,522.0,382.0,230.0,105.0,62.0,10.3,28.6,16.7,44.4,4.5,4.3,36.6,26.8,16.1,7.4,4.3,733.0,61467.0,69024.0,2041.0,590.0,28.9,1451.0,71.1,1139.0,55.8,122.0,6.0,0.0,0.0,87.0,4.3,8.0,0.4,0.0,0.0,95.0,4.7
Veterans Memorial H S,Judson ISD,480.0,458.0,327,344,100.0,28,8.1,75,21.8,Texas,29.6093028,-98.3374102,7618 East Evans Road,78266,Bexar County,San Antonio,48029,"7618 East Evans Road, San Antonio, Texas, 78266",121910,48029121910,2020.0,121909.0,Bexar County,Texas,288.0,45.0,44.0,136.0,63.0,4682.0,58.0,40.0,652.0,1117.0,601.0,1192.0,1022.0,15.6,15.3,47.2,21.9,1.2,0.9,13.9,23.9,12.8,25.5,21.8,2367.0,90799.0,116063.0,6859.0,2086.0,30.4,4773.0,69.6,3638.0,53.0,430.0,6.3,0.0,0.0,578.0,8.4,0.0,0.0,0.0,0.0,127.0,1.9
Southside H S,Southside ISD,449.0,438.0,<400,<325,84.4,<25,3.7,<50,9.6,Texas,29.23686829999999,-98.47305139999999,1460 Martinez Losoya Road,78221,Bexar County,San Antonio,48029,"1460 Martinez Losoya Road, San Antonio, Texas, 78221",152201,48029152201,2020.0,152201.0,Bexar County,Texas,661.0,112.0,213.0,287.0,49.0,4360.0,506.0,983.0,1329.0,912.0,143.0,418.0,69.0,16.9,32.2,43.4,7.4,11.6,22.5,30.5,20.9,3.3,9.6,1.6,2014.0,27344.0,51506.0,7107.0,6031.0,84.9,1076.0,15.1,939.0,13.2,0.0,0.0,0.0,0.0,29.0,0.4,0.0,0.0,6.0,0.1,102.0,1.4
Lyndon B Johnson H S,Johnson City ISD,526.0,514.0,<75,<50,52.3,<25,14.7,<25,47.1,Texas,30.3500511,-98.3964938,,N/A,Blanco County,N/A,48031,,950102,48031950102,2020.0,950102.0,Blanco County,Texas,65.0,14.0,28.0,6.0,17.0,1824.0,24.0,41.0,470.0,454.0,176.0,382.0,277.0,21.5,43.1,9.2,26.2,1.3,2.2,25.8,24.9,9.6,20.9,15.2,854.0,91522.0,108417.0,2081.0,91.0,4.4,1990.0,95.6,1868.0,89.8,0.0,0.0,0.0,0.0,75.0,3.6,47.0,2.3,0.0,0.0,0.0,0.0
Blanco H S,Blanco ISD,526.0,500.0,73,64,87.7,14,21.9,25,39.1,Texas,30.0993537,-98.4316558,1215 4th Street,78606,Blanco County,Blanco,48031,"1215 4th Street, Blanco, Texas, 78606",950202,48031950202,2020.0,950202.0,Blanco County,Texas,207.0,55.0,67.0,27.0,58.0,2393.0,46.0,122.0,667.0,636.0,110.0,650.0,162.0,26.6,32.4,13.0,28.0,1.9,5.1,27.9,26.6,4.6,27.2,6.8,1245.0,79205.0,90177.0,3364.0,691.0,20.5,2673.0,79.5,2332.0,69.3,1.0,0.0,15.0,0.4,7.0,0.2,0.0,0.0,0.0,0.0,318.0,9.5
Borden County School,Borden County ISD,603.0,563.0,<25,<25,18.2,<25,50.0,<25,100.0,Texas,32.7759551,-101.4491418,240 West Kincaid Avenue,79738,Borden County,Gail,48033,"240 West Kincaid Avenue, Gail, Texas, 79738",950100,48033950100,2020.0,950100.0,Borden County,Texas,6.0,6.0,0.0,0.0,0.0,434.0,17.0,12.0,91.0,95.0,23.0,157.0,39.0,100.0,0.0,0.0,0.0,3.9,2.8,21.0,21.9,5.3,36.2,9.0,223.0,83281.0,98135.0,653.0,85.0,13.0,568.0,87.0,548.0,83.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.1
Clifton H S,Clifton ISD,508.0,493.0,75,57,76.0,6,10.5,18,31.6,Texas,31.788728,-97.59041049999999,1101 North Avenue Q,76634,Bosque County,Clifton,48035,"1101 North Avenue Q, Clifton, Texas, 76634",950500,48035950500,2020.0,950500.0,Bosque County,Texas,181.0,78.0,34.0,69.0,0.0,2341.0,175.0,178.0,732.0,572.0,204.0,399.0,81.0,43.1,18.8,38.1,0.0,7.5,7.6,31.3,24.4,8.7,17.0,3.5,1178.0,57882.0,63813.0,3011.0,837.0,27.8,2174.0,72.2,2021.0,67.1,111.0,3.7,0.0,0.0,42.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0
Meridian H S,Meridian ISD,583.0,541.0,<50,<25,39.3,<25,27.3,<25,63.6,Texas,31.941702,-97.66199019999999,500 Yellow Jacket Dr.,76665,Bosque County,Meridian,48035,"500 Yellow Jacket Dr., Meridian, Texas, 76665",950100,48035950100,2020.0,950100.0,Bosque County,Texas,280.0,54.0,156.0,66.0,4.0,2721.0,153.0,268.0,1298.0,534.0,129.0,225.0,114.0,19.3,55.7,23.6,1.4,5.6,9.8,47.7,19.6,4.7,8.3,4.2,1572.0,51774.0,64639.0,4009.0,1161.0,29.0,2848.0,71.0,2730.0,68.1,13.0,0.3,32.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1.8
Morgan School,Morgan ISD,,,<25,<25,50.0,<25,,<25,,Texas,32.0194594,-97.60655349999999,1306 Charles,76671,Bosque County,Morgan,48035,"1306 Charles, Morgan, Texas, 76671",950100,48035950100,2020.0,950100.0,Bosque County,Texas,280.0,54.0,156.0,66.0,4.0,2721.0,153.0,268.0,1298.0,534.0,129.0,225.0,114.0,19.3,55.7,23.6,1.4,5.6,9.8,47.7,19.6,4.7,8.3,4.2,1572.0,51774.0,64639.0,4009.0,1161.0,29.0,2848.0,71.0,2730.0,68.1,13.0,0.3,32.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1.8
Valley Mills H S,Valley Mills ISD,487.0,474.0,<75,<50,45.7,<25,,<25,21.9,Texas,31.6584986,-97.5030669,,N/A,Bosque County,N/A,48035,,950700,48035950700,2020.0,950700.0,Bosque County,Texas,294.0,80.0,95.0,113.0,6.0,1526.0,34.0,161.0,457.0,484.0,125.0,187.0,78.0,27.2,32.3,38.4,2.0,2.2,10.6,29.9,31.7,8.2,12.3,5.1,905.0,51875.0,60185.0,2364.0,586.0,24.8,1778.0,75.2,1639.0,69.3,47.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,91.0,3.8
Walnut Springs School,Walnut Springs ISD,462.0,454.0,<25,<25,50.0,<25,,<25,20.0,Texas,32.0537198,-97.75291879999999,184 Avenue A,76690,Bosque County,Walnut Springs,48035,"184 Avenue A, Walnut Springs, Texas, 76690",950100,48035950100,2020.0,950100.0,Bosque County,Texas,280.0,54.0,156.0,66.0,4.0,2721.0,153.0,268.0,1298.0,534.0,129.0,225.0,114.0,19.3,55.7,23.6,1.4,5.6,9.8,47.7,19.6,4.7,8.3,4.2,1572.0,51774.0,64639.0,4009.0,1161.0,29.0,2848.0,71.0,2730.0,68.1,13.0,0.3,32.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1.8
Iredell School,Iredell ISD,480.0,470.0,<25,<25,57.1,<25,,<25,,Texas,31.9970466,-97.8939317,,N/A,Bosque County,N/A,48035,,950100,48035950100,2020.0,950100.0,Bosque County,Texas,280.0,54.0,156.0,66.0,4.0,2721.0,153.0,268.0,1298.0,534.0,129.0,225.0,114.0,19.3,55.7,23.6,1.4,5.6,9.8,47.7,19.6,4.7,8.3,4.2,1572.0,51774.0,64639.0,4009.0,1161.0,29.0,2848.0,71.0,2730.0,68.1,13.0,0.3,32.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1.8
Kopperl School,Kopperl ISD,472.0,455.0,<25,<25,100.0,<25,9.1,<25,9.1,Texas,32.07287170000001,-97.5010841,175 County Road 1240,76652,Bosque County,Kopperl,48035,"175 County Road 1240, Kopperl, Texas, 76652",950100,48035950100,2020.0,950100.0,Bosque County,Texas,280.0,54.0,156.0,66.0,4.0,2721.0,153.0,268.0,1298.0,534.0,129.0,225.0,114.0,19.3,55.7,23.6,1.4,5.6,9.8,47.7,19.6,4.7,8.3,4.2,1572.0,51774.0,64639.0,4009.0,1161.0,29.0,2848.0,71.0,2730.0,68.1,13.0,0.3,32.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1.8
Cranfills Gap School,Cranfills Gap ISD,491.0,502.0,<25,<25,100.0,<25,,<25,22.2,Texas,31.7701465,-97.8249537,505 2nd Street,76637,Bosque County,Cranfills Gap,48035,"505 2nd Street, Cranfills Gap, Texas, 76637",950400,48035950400,2020.0,950400.0,Bosque County,Texas,287.0,42.0,119.0,106.0,20.0,2781.0,87.0,155.0,659.0,759.0,378.0,476.0,267.0,14.6,41.5,36.9,7.0,3.1,5.6,23.7,27.3,13.6,17.1,9.6,1526.0,67100.0,84905.0,3824.0,350.0,9.2,3474.0,90.8,3260.0,85.3,55.0,1.4,0.0,0.0,36.0,0.9,0.0,0.0,0.0,0.0,123.0,3.2
Dekalb H S,Dekalb ISD,603.0,557.0,<75,<25,4.9,<25,66.7,<25,66.7,Texas,33.50798530000001,-94.622461,152 Southwest Maple Street,75559,Bowie County,De Kalb,48037,"152 Southwest Maple Street, De Kalb, Texas, 75559",011601,48037011601,2020.0,11601.0,Bowie County,Texas,137.0,2.0,38.0,90.0,7.0,1841.0,67.0,184.0,694.0,494.0,112.0,163.0,127.0,1.5,27.7,65.7,5.1,3.6,10.0,37.7,26.8,6.1,8.9,6.9,1118.0,46131.0,61346.0,2683.0,266.0,9.9,2417.0,90.1,2015.0,75.1,308.0,11.5,43.0,1.6,17.0,0.6,0.0,0.0,0.0,0.0,34.0,1.3
New Boston H S,New Boston ISD,544.0,530.0,<125,<25,4.7,<25,20.0,<25,80.0,Texas,33.4566434,-94.4199773,1 West Lion Drive,75570,Bowie County,New Boston,48037,"1 West Lion Drive, New Boston, Texas, 75570",011501,48037011501,2020.0,11501.0,Bowie County,Texas,810.0,215.0,475.0,115.0,5.0,6002.0,353.0,1018.0,2183.0,1153.0,350.0,719.0,226.0,26.5,58.6,14.2,0.6,5.9,17.0,36.4,19.2,5.8,12.0,3.8,1740.0,71505.0,79672.0,7931.0,1371.0,17.3,6560.0,82.7,5142.0,64.8,1221.0,15.4,20.0,0.3,44.0,0.6,0.0,0.0,8.0,0.1,125.0,1.6
Redwater H S,Redwater ISD,530.0,545.0,<100,<25,4.9,<25,25.0,<25,50.0,Texas,33.3666394,-94.24882699999999,120 Red River Road North,75501,Bowie County,Texarkana,48037,"120 Red River Road North, Texarkana, Texas, 75501",011101,48037011101,2020.0,11101.0,Bowie County,Texas,133.0,8.0,24.0,101.0,0.0,2883.0,179.0,243.0,1003.0,953.0,206.0,92.0,207.0,6.0,18.0,75.9,0.0,6.2,8.4,34.8,33.1,7.1,3.2,7.2,1572.0,50860.0,51391.0,4223.0,357.0,8.5,3866.0,91.5,2669.0,63.2,1136.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,1.4
Texas H S,Texarkana ISD,546.0,530.0,399,57,14.3,13,22.8,25,43.9,Texas,33.4560575,-94.0673006,4001 Summerhill Road,75503,Bowie County,Texarkana,48037,"4001 Summerhill Road, Texarkana, Texas, 75503",010700,48037010700,2020.0,10700.0,Bowie County,Texas,363.0,105.0,112.0,146.0,0.0,3279.0,46.0,193.0,697.0,1005.0,513.0,552.0,273.0,28.9,30.9,40.2,0.0,1.4,5.9,21.3,30.6,15.6,16.8,8.3,2127.0,44888.0,59578.0,4893.0,454.0,9.3,4439.0,90.7,2413.0,49.3,1886.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,2.9
Liberty-Eylau H S,Liberty-Eylau ISD,471.0,431.0,<150,<25,7.7,<25,,<25,9.1,Texas,33.3915239,-94.0893521,2905 Leopard Drive,75501,Bowie County,Texarkana,48037,"2905 Leopard Drive, Texarkana, Texas, 75501",010400,48037010400,2020.0,10400.0,Bowie County,Texas,427.0,68.0,254.0,105.0,0.0,2498.0,139.0,250.0,1018.0,674.0,172.0,189.0,56.0,15.9,59.5,24.6,0.0,5.6,10.0,40.8,27.0,6.9,7.6,2.2,1588.0,24545.0,41094.0,3745.0,193.0,5.2,3552.0,94.8,1408.0,37.6,1932.0,51.6,0.0,0.0,27.0,0.7,0.0,0.0,56.0,1.5,129.0,3.4
James Bowie H S,Simms ISD,,,<50,<25,2.8,<25,,<25,100.0,Texas,33.3779352,-94.5418141,,N/A,Bowie County,N/A,48037,,011700,48037011700,2020.0,11700.0,Bowie County,Texas,98.0,0.0,45.0,53.0,0.0,1461.0,100.0,55.0,539.0,318.0,75.0,262.0,112.0,0.0,45.9,54.1,0.0,6.8,3.8,36.9,21.8,5.1,17.9,7.7,864.0,49444.0,56369.0,1904.0,99.0,5.2,1805.0,94.8,1732.0,91.0,0.0,0.0,64.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.5
Pleasant Grove H S,Pleasant Grove ISD,546.0,593.0,<175,<25,5.7,<25,44.4,<25,55.6,Texas,33.4660987,-94.1096572,5406 McKnight Road,75503,Bowie County,Texarkana,48037,"5406 McKnight Road, Texarkana, Texas, 75503",010906,48037010906,2020.0,10906.0,Bowie County,Texas,602.0,56.0,119.0,343.0,84.0,3491.0,63.0,74.0,732.0,925.0,231.0,932.0,534.0,9.3,19.8,57.0,14.0,1.8,2.1,21.0,26.5,6.6,26.7,15.3,2129.0,77552.0,88856.0,5043.0,50.0,1.0,4993.0,99.0,4263.0,84.5,548.0,10.9,11.0,0.2,120.0,2.4,0.0,0.0,0.0,0.0,51.0,1.0
Alvin H S,Alvin ISD,503.0,496.0,642,350,54.5,48,13.7,119,34.0,Texas,29.418152,-95.2515507,802 South Johnson Street,77511,Brazoria County,Alvin,48039,"802 South Johnson Street, Alvin, Texas, 77511",661400,48039661400,2020.0,661400.0,Brazoria County,Texas,407.0,19.0,116.0,219.0,53.0,4068.0,50.0,576.0,1320.0,967.0,386.0,580.0,189.0,4.7,28.5,53.8,13.0,1.2,14.2,32.4,23.8,9.5,14.3,4.6,2405.0,57408.0,79034.0,6132.0,1841.0,30.0,4291.0,70.0,4122.0,67.2,40.0,0.7,0.0,0.0,106.0,1.7,0.0,0.0,23.0,0.4,0.0,0.0
Manvel H S,Alvin ISD,498.0,485.0,<450,<375,78.3,<50,11.4,<125,30.2,Texas,29.4715335,-95.3654,19601 Highway 6,77578,Brazoria County,Manvel,48039,"19601 Highway 6, Manvel, Texas, 77578",660708,48039660708,2020.0,660708.0,Brazoria County,Texas,506.0,13.0,240.0,211.0,42.0,5013.0,20.0,364.0,894.0,1664.0,281.0,1291.0,499.0,2.6,47.4,41.7,8.3,0.4,7.3,17.8,33.2,5.6,25.8,10.0,2586.0,95172.0,110825.0,7694.0,1853.0,24.1,5841.0,75.9,4568.0,59.4,1003.0,13.0,0.0,0.0,270.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0
Assets,Alvin ISD,440.0,429.0,<50,<50,95.0,<25,,<25,2.6,Texas,29.4498692,-95.35208759999999,,N/A,Brazoria County,N/A,48039,,661502,48039661502,2020.0,661502.0,Brazoria County,Texas,453.0,18.0,136.0,299.0,0.0,3556.0,141.0,220.0,1187.0,1112.0,307.0,476.0,113.0,4.0,30.0,66.0,0.0,4.0,6.2,33.4,31.3,8.6,13.4,3.2,1708.0,67692.0,89787.0,5345.0,1734.0,32.4,3611.0,67.6,3306.0,61.9,132.0,2.5,18.0,0.3,14.0,0.3,0.0,0.0,0.0,0.0,141.0,2.6
Shadow Creek H S,Alvin ISD,539.0,530.0,<625,<550,86.4,<175,28.4,<250,45.3,Texas,29.5502798,-95.40374469999999,11850 Broadway Street,77584,Brazoria County,Pearland,48039,"11850 Broadway Street, Pearland, Texas, 77584",660612,48039660612,2020.0,660612.0,Brazoria County,Texas,86.0,36.0,0.0,0.0,50.0,2500.0,0.0,0.0,184.0,364.0,233.0,1035.0,684.0,41.9,0.0,0.0,58.1,0.0,0.0,7.4,14.6,9.3,41.4,27.4,1314.0,140395.0,173990.0,3753.0,467.0,12.4,3286.0,87.6,1070.0,28.5,583.0,15.5,0.0,0.0,1633.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0
Angleton H S,Angleton ISD,534.0,514.0,488,158,32.4,24,15.2,61,38.6,Texas,29.2015422,-95.4135763,1 Campus Drive,77515,Brazoria County,Angleton,48039,"1 Campus Drive, Angleton, Texas, 77515",662200,48039662200,2020.0,662200.0,Brazoria County,Texas,783.0,333.0,326.0,96.0,28.0,5712.0,123.0,555.0,1817.0,1109.0,748.0,962.0,398.0,42.5,41.6,12.3,3.6,2.2,9.7,31.8,19.4,13.1,16.8,7.0,2967.0,69962.0,107054.0,8174.0,1473.0,18.0,6701.0,82.0,5440.0,66.6,619.0,7.6,28.0,0.3,403.0,4.9,0.0,0.0,0.0,0.0,211.0,2.6
Danbury H S,Danbury ISD,532.0,537.0,<75,<50,41.7,<25,16.0,<25,60.0,Texas,29.2241275,-95.3422104,5611 1st Street,77534,Brazoria County,Danbury,48039,"5611 1st Street, Danbury, Texas, 77534",662400,48039662400,2020.0,662400.0,Brazoria County,Texas,528.0,25.0,263.0,225.0,15.0,3407.0,95.0,341.0,1014.0,1054.0,402.0,413.0,88.0,4.7,49.8,42.6,2.8,2.8,10.0,29.8,30.9,11.8,12.1,2.6,2035.0,68811.0,80558.0,5343.0,1632.0,30.5,3711.0,69.5,3234.0,60.5,337.0,6.3,0.0,0.0,25.0,0.5,0.0,0.0,23.0,0.4,92.0,1.7
Brazosport H S,Brazosport ISD,448.0,435.0,<225,<225,94.8,<25,3.5,<50,12.9,Texas,28.9589998,-95.37184239999999,1800 West 2nd Street,77541,Brazoria County,Freeport,48039,"1800 West 2nd Street, Freeport, Texas, 77541",664300,48039664300,2020.0,664300.0,Brazoria County,Texas,582.0,112.0,394.0,76.0,0.0,3262.0,469.0,350.0,1220.0,827.0,178.0,171.0,47.0,19.2,67.7,13.1,0.0,14.4,10.7,37.4,25.4,5.5,5.2,1.4,2066.0,45634.0,51930.0,6037.0,3960.0,65.6,2077.0,34.4,532.0,8.8,1188.0,19.7,211.0,3.5,7.0,0.1,0.0,0.0,0.0,0.0,139.0,2.3
Brazoswood H S,Brazosport ISD,516.0,490.0,<550,<400,70.2,<75,15.4,<125,29.4,Texas,29.026378,-95.41531599999999,302 Brazoswood Drive,77531,Brazoria County,Clute,48039,"302 Brazoswood Drive, Clute, Texas, 77531",663800,48039663800,2020.0,663800.0,Brazoria County,Texas,804.0,91.0,406.0,307.0,0.0,4132.0,189.0,515.0,1038.0,927.0,260.0,958.0,245.0,11.3,50.5,38.2,0.0,4.6,12.5,25.1,22.4,6.3,23.2,5.9,2543.0,64931.0,91081.0,6388.0,3817.0,59.8,2571.0,40.2,2032.0,31.8,423.0,6.6,0.0,0.0,0.0,0.0,12.0,0.2,0.0,0.0,104.0,1.6
